Wall time,Step,Value
1758717366.6421108,22464,2.0
1758717367.5512724,31168,4.0
1758717367.6868017,32448,0.0
1758717375.1218758,49344,1.0
1758717375.8521519,56256,0.0
1758717376.4480586,61952,4.0
1758717379.867048,67456,0.0
1758717380.4184434,72576,0.0
1758717381.2147563,80000,0.0
1758717385.9223273,97728,0.0
1758717389.5812724,105536,9.0
1758717394.5641537,125760,6.0
1758717394.6919892,126976,1.0
1758717398.679696,137920,0.0
1758717398.7735658,138816,0.0
1758717399.5071578,145792,0.0
1758717403.3868763,155584,6.0
1758717408.163159,173568,1.0
1758717408.8052797,179520,2.0
1758717412.152361,184256,2.0
1758717412.3371513,185984,14.0
1758717412.8189054,190464,3.0
1758717413.023005,192384,3.0
1758717417.3188972,205696,1.0
1758717426.6350143,239424,2.0
1758717426.9473789,242368,4.0
1758717444.8702016,303232,1.0
1758717444.9590757,304064,1.0
1758717445.3176613,307392,5.0
1758717448.7550478,312832,1.0
1758717449.761869,322368,6.0
1758717453.561095,331008,4.0
1758717454.1373618,336320,4.0
1758717454.2416136,337280,0.0
1758717454.5022085,339648,0.0
1758717454.6079147,340608,0.0
1758717458.142082,346816,3.0
1758717463.9006119,373760,0.0
1758717468.3572857,388864,2.0
1758717468.6487086,391616,6.0
1758717468.6555476,391680,5.0
1758717471.966864,396032,4.0
1758717473.178067,407296,7.0
1758717476.3744543,410432,10.0
1758717476.7181015,413632,1.0
1758717480.9176788,426240,3.0
1758717485.7692876,445056,8.0
1758717486.7290435,454016,1.0
1758717487.2065115,458496,6.0
1758717490.2756715,460416,3.0
1758717490.9572444,466752,5.0
1758717491.113495,468160,10.0
1758717491.1348534,468352,4.0
1758717491.7519212,474112,2.0
1758717495.5635111,482944,9.0
1758717496.4487936,491200,4.0
1758717500.2970483,500352,1.0
1758717504.7796652,515200,0.0
1758717956.4235024,526592,1.0
1758717956.5816813,528000,1.0
1758717957.527998,536384,3.0
1758717957.74852,538368,6.0
1758717961.2234752,542976,7.0
1758717962.5768452,555136,9.0
1758717965.860689,557120,0.0
1758717972.1983023,587968,8.0
1758717975.4354386,591168,0.0
1758717980.2988493,609472,4.0
1758717985.3580704,629056,1.0
1758717985.394402,629376,6.0
1758717995.0997012,664576,1.0
1758717995.7293162,670144,1.0
1758717995.7583685,670400,0.0
1758717999.458796,677696,1.0
1758717999.674432,679616,1.0
1758718000.5498545,687488,6.0
1758718003.9293354,692032,2.0
1758718004.988588,701632,7.0
1758718009.0947747,712448,4.0
1758718018.2052321,742208,3.0
1758718023.8546584,766592,7.0
1758718027.2637308,771200,2.0
1758718027.487436,773184,3.0
1758718031.9651513,787392,12.0
1758718032.2103264,789568,2.0
1758718033.1640773,797952,9.0
1758718037.2779586,808960,5.0
1758718041.571723,821568,2.0
1758718042.3932993,828864,0.0
1758718046.2326057,837248,4.0
1758718046.8101737,842304,0.0
1758718055.7446566,870144,0.0
1758718056.0350072,872704,2.0
1758718056.1017416,873280,1.0
1758718056.2059338,874176,0.0
1758718061.254987,893120,10.0
1758718061.5461118,895680,7.0
1758718066.0955386,910208,0.0
1758718070.1182015,920000,6.0
1758718071.2716215,930176,6.0
1758718071.3346982,930752,4.0
1758718075.1522832,938944,2.0
1758718081.1191134,966080,4.0
1758718089.8823564,992384,5.0
1758718090.3515754,996480,18.0
1758718090.4323173,997184,3.0
1758718094.5792954,1007936,0.0
1758718095.4336758,1015552,0.0
1758718098.989222,1021056,3.0
1758718103.2508223,1033024,3.0
1758718103.3086634,1033536,16.0
1758718103.7439928,1037312,6.0
1758718104.3836746,1043008,7.0
1758718104.8565822,1047104,10.0
1758718562.917202,1072064,5.0
1758718568.2115717,1093184,3.0
1758718577.1305544,1120512,5.0
1758718587.1550775,1158144,6.0
1758718587.2754226,1159232,1.0
1758718591.3241897,1169728,4.0
1758718592.0719671,1176448,1.0
1758718595.6441233,1182464,4.0
1758718596.1269972,1186688,4.0
1758718596.6669555,1191616,4.0
1758718597.132121,1195776,7.0
1758718600.0592864,1196096,3.0
1758718600.829598,1203008,2.0
1758718601.0653365,1205120,3.0
1758718601.776992,1211456,9.0
1758718601.8768563,1212352,4.0
1758718611.2040691,1243840,15.0
1758718615.4120924,1255808,3.0
1758718616.0025833,1261120,5.0
1758718623.9418705,1280256,3.0
1758718624.8895724,1288640,5.0
1758718625.5123568,1294272,2.0
1758718629.0697007,1300160,3.0
1758718638.843587,1335488,7.0
1758718639.0618527,1337472,3.0
1758718647.8279219,1363136,9.0
1758718648.834365,1372224,14.0
1758718652.8201,1381440,4.0
1758718652.841386,1381632,14.0
1758718658.0039704,1402112,3.0
1758718658.6746714,1408320,10.0
1758718662.2175126,1413952,9.0
1758718662.7248049,1418560,39.0
1758718663.4885833,1425024,7.0
1758718663.4960845,1425088,13.0
1758718667.0779665,1430848,15.0
1758718667.1734054,1431680,5.0
1758718667.4547875,1434112,57.0
1758718672.1093469,1449088,10.0
1758718672.7796605,1454976,25.0
1758718676.4902797,1461952,12.0
1758718676.9397495,1465984,1.0
1758718681.1151342,1477696,4.0
1758718690.494546,1509312,4.0
1758718690.5636315,1509888,1.0
1758718691.774039,1520576,15.0
1758718695.906181,1531008,18.0
1758718696.1956973,1533504,8.0
1758718700.2843926,1543872,13.0
