Wall time,Step,Value
1758717791.3675976,21312,2.0
1758717792.1470191,28864,0.0
1758717792.3670762,31040,3.0
1758717796.2798395,48704,4.0
1758717799.1941488,56576,1.0
1758717799.75816,62016,0.0
1758717800.0901315,65216,0.0
1758717802.5109062,68160,1.0
1758717802.9751003,72704,4.0
1758717803.7223196,80064,0.0
1758717807.1572843,93120,3.0
1758717807.6334376,97856,7.0
1758717810.5707393,105984,0.0
1758717814.6512609,125376,10.0
1758717814.7974513,126784,0.0
1758717818.0189328,137472,2.0
1758717818.0864666,138112,1.0
1758717818.5127432,142272,2.0
1758717818.7114706,144192,2.0
1758717821.767933,153216,12.0
1758717822.0237222,155712,10.0
1758717826.1035674,174592,1.0
1758717828.877585,180928,1.0
1758717829.381896,185728,3.0
1758717829.6079633,187840,9.0
1758717830.1074543,192512,4.0
1758717830.3548748,194880,0.0
1758717833.9865906,209344,5.0
1758717841.9180675,244544,0.0
1758717844.3669322,247488,3.0
1758717857.1877904,308736,4.0
1758717857.228669,309120,2.0
1758717859.701104,312512,0.0
1758717860.2512367,317696,7.0
1758717861.2456913,327232,0.0
1758717864.2498548,335616,8.0
1758717864.787268,340800,4.0
1758717864.9156227,342016,2.0
1758717865.1127498,343872,5.0
1758717867.3179271,344640,1.0
1758717868.0712545,351808,0.0
1758717875.0794291,378112,5.0
1758717876.66027,393216,0.0
1758717879.1286886,396352,7.0
1758717879.1356108,396416,7.0
1758717879.6745727,401536,3.0
1758717882.8193216,411264,7.0
1758717883.148306,414400,5.0
1758717883.512868,417792,0.0
1758717886.8953636,429696,2.0
1758717890.9678414,448128,3.0
1758717891.9160724,457024,5.0
1758717894.5293787,461504,4.0
1758717894.823933,464256,0.0
1758717895.287316,468608,7.0
1758717895.478959,470400,0.0
1758717895.5192862,470784,3.0
1758717898.273201,476672,3.0
1758717899.1881182,485312,2.0
1758717902.1561515,493120,0.0
1758717903.222965,503168,3.0
1758717906.8465614,517376,1.0
1758718211.2729728,529152,2.0
1758718211.4290314,530624,2.0
1758718212.2966967,538944,4.0
1758718212.4184327,540096,6.0
1758718215.1593983,544768,2.0
1758718216.4328985,556864,9.0
1758718218.7432003,558016,1.0
1758718223.9667466,586048,3.0
1758718224.3125062,589376,5.0
1758718228.3409748,605952,3.0
1758718234.8082368,626752,3.0
1758718234.9361677,627968,0.0
1758718235.6001327,634240,11.0
1758718242.8502014,662656,1.0
1758718243.509865,669056,4.0
1758718243.5629983,669568,4.0
1758718246.4668787,677120,9.0
1758718246.7155244,679488,5.0
1758718247.6232922,688064,17.0
1758718250.1528409,691904,4.0
1758718251.2433565,702336,8.0
1758718254.738424,715264,5.0
1758718262.365188,746816,1.0
1758718266.930847,769792,16.0
1758718269.5794709,774656,2.0
1758718269.8061018,776768,17.0
1758718273.1862478,788224,9.0
1758718273.5409675,791488,3.0
1758718273.8369262,794240,0.0
1758718274.664294,801920,0.0
1758718277.8892431,811840,8.0
1758718278.3019588,815680,7.0
1758718281.8790288,829248,6.0
1758718284.7412755,836160,1.0
1758718285.6122935,844352,3.0
1758718285.6600468,844800,5.0
1758718286.043275,848384,1.0
1758718286.0836549,848768,0.0
1758718286.2731347,850560,10.0
1758718293.9948285,883008,7.0
1758718296.3540409,885184,2.0
1758718296.395078,885568,18.0
1758718296.5415146,886976,3.0
1758718300.6705549,905856,4.0
1758718300.9650033,908608,11.0
1758718304.6797738,923584,4.0
1758718305.7702396,933824,8.0
1758718309.1197093,945216,7.0
1758718309.174772,945728,11.0
1758718312.1704898,953920,5.0
1758718319.731614,984960,3.0
1758718324.955572,1013632,3.0
1758718327.5858312,1018112,0.0
1758718327.6345172,1018560,10.0
1758718328.9423568,1030848,0.0
1758718332.1412537,1040768,5.0
1758718332.8074567,1046976,17.0
1758718640.9072013,1060928,7.0
1758718640.9346578,1061184,6.0
1758718643.6471467,1065344,0.0
1758718644.3028266,1071424,13.0
1758718644.7968242,1076096,3.0
1758718652.0071838,1102016,4.0
1758718656.8177133,1126592,4.0
1758718664.5956385,1159936,5.0
1758718676.569866,1210752,30.0
1758718678.919016,1212736,6.0
1758718680.1566992,1224384,0.0
1758718683.1808045,1232384,2.0
1758718684.046385,1240512,9.0
1758718686.958029,1247552,6.0
1758718687.577611,1253248,14.0
1758718688.1546388,1258688,2.0
1758718688.1688893,1258816,5.0
1758718691.4736605,1268992,26.0
1758718691.6921206,1270976,14.0
1758718694.6414278,1278336,7.0
1758718694.779121,1279552,2.0
1758718703.130398,1316480,7.0
1758718706.7839077,1330176,13.0
1758718707.5549865,1337280,27.0
1758718711.9058485,1357504,3.0
1758718714.9985642,1366016,27.0
1758718715.8660245,1373888,23.0
1758718718.7381737,1380352,10.0
1758718726.886158,1415232,4.0
1758718727.0818114,1417024,13.0
1758718731.7266276,1439360,4.0
1758718734.8776696,1448320,5.0
1758718735.7047687,1455936,3.0
1758718735.7118142,1456000,3.0
1758718739.7634795,1472832,6.0
1758718742.5966394,1478528,18.0
1758718743.250528,1484672,7.0
1758718743.6154747,1488128,19.0
1758718746.414354,1494336,11.0
1758718746.4346902,1494528,5.0
1758718747.0478635,1500352,38.0
1758718747.1887875,1501632,13.0
1758718747.5530465,1505088,18.0
1758718751.216352,1519488,8.0
1758718751.6600332,1523648,16.0
1758718754.478484,1529856,4.0
1758718754.8380213,1533248,5.0
1758718758.2826262,1545536,18.0
1758719071.235536,1577728,8.0
1758719071.316558,1578496,28.0
1758719074.9238045,1591168,7.0
1758719076.3121324,1604288,17.0
1758719078.8539581,1607232,5.0
1758719079.805903,1616064,33.0
1758719080.2641242,1620160,28.0
1758719083.4063413,1629312,8.0
1758719088.1332695,1651456,32.0
1758719088.2252028,1652288,27.0
1758719092.2745597,1669568,17.0
1758719094.8278868,1673472,51.0
1758719114.6180751,1756480,56.0
1758719115.0791078,1760768,4.0
1758719115.6520875,1766080,53.0
1758719118.9452107,1776960,10.0
1758719119.7073169,1784192,3.0
1758719127.3107245,1815232,5.0
1758719127.4824364,1816832,14.0
1758719137.8948205,1853632,31.0
1758719142.4154975,1876032,53.0
1758719142.9712627,1881216,39.0
1758719172.9543157,2000576,30.0
1758719173.9139287,2009280,5.0
1758719177.0049741,2018112,1.0
1758719177.5280457,2023104,7.0
1758719190.0987515,2078848,5.0
1758719194.1213295,2095744,11.0
1758719501.4999812,2126144,3.0
1758719501.5964866,2127040,19.0
1758719512.8869824,2170304,45.0
1758719513.6108572,2176960,21.0
1758719516.9505203,2187968,46.0
1758719520.5692234,2202112,47.0
1758719520.5896523,2202304,7.0
1758719524.2465603,2215680,47.0
1758719525.4578087,2226560,12.0
1758719532.5607512,2253184,25.0
1758719536.6347628,2271296,6.0
1758719544.8584135,2308416,32.0
1758719562.9892313,2377984,2.0
1758719563.0740867,2378752,6.0
1758719564.3802974,2391040,55.0
1758719567.6928089,2402304,60.0
1758719567.9252927,2404608,10.0
1758719598.1113844,2526592,10.0
1758719601.7909799,2541184,19.0
1758719603.1765058,2554048,3.0
1758719606.4666216,2564864,17.0
1758719610.3392997,2581056,9.0
1758719617.1964848,2605248,28.0
1758719618.433735,2616768,9.0
1758719929.5503492,2642176,57.0
1758719930.2247117,2648320,65.0
1758719930.3590684,2649536,11.0
1758719945.3172927,2705472,61.0
1758719949.3311205,2722688,6.0
1758719958.1400166,2765888,54.0
1758719960.6114316,2769088,41.0
1758719961.568558,2778176,56.0
1758719965.3306358,2793536,15.0
1758719977.3504467,2846016,40.0
1758719977.6336777,2848640,3.0
1758719980.3529594,2854080,6.0
1758719984.6123037,2873920,23.0
1758719984.807797,2875776,12.0
1758719992.3479176,2905792,17.0
1758719992.478465,2907008,11.0
1758719996.167044,2921344,14.0
1758719996.5844035,2925312,23.0
1758720005.0054722,2964032,2.0
1758720012.2373884,2991744,12.0
1758720015.1678615,2999168,15.0
1758720023.2644193,3034816,24.0
1758720027.7827911,3057088,67.0
1758720030.8849006,3066176,8.0
1758720031.2205062,3069312,12.0
1758720043.1153483,3120320,54.0
1758720047.1441326,3137856,12.0
1758720047.2619674,3138944,4.0
1758720353.303746,3151872,45.0
1758720353.8826654,3157184,48.0
1758720356.8253284,3163392,20.0
1758720357.5604563,3170176,21.0
1758720360.9174206,3180544,10.0
1758720361.4147193,3185152,11.0
1758720373.3856044,3234624,67.0
1758720376.9004476,3247168,50.0
1758720385.7441797,3290880,22.0
1758720396.9827545,3335040,8.0
1758720400.3274317,3346560,30.0
1758720409.7296565,3391040,5.0
1758720413.2036364,3402432,42.0
1758720439.6475546,3506432,55.0
1758720441.2778404,3521024,7.0
1758720448.6414447,3549056,38.0
1758720448.6618166,3549248,2.0
1758720453.0611148,3570048,51.0
1758720460.424047,3597504,60.0
1758720467.79911,3625920,35.0
1758720471.2467296,3637440,19.0
1758720793.030932,3742400,8.0
1758720801.2290547,3779072,28.0
1758720804.725224,3791872,43.0
1758720805.4130323,3798464,65.0
1758720805.500697,3799296,6.0
1758720808.764991,3809664,65.0
1758720812.2804136,3822656,0.0
1758720827.791959,3886912,22.0
1758720828.0282214,3889088,25.0
1758720828.0354006,3889152,10.0
1758720840.556885,3946176,46.0
1758720852.4397209,3997376,7.0
1758720856.0307713,4011008,31.0
1758720870.257799,4063872,23.0
1758720875.1448603,4089600,49.0
1758720882.3125122,4116480,7.0
1758720882.7807438,4120832,52.0
1758720885.9892707,4130432,21.0
1758720898.768131,4190016,37.0
1758721215.0733228,4239744,64.0
1758721226.569866,4286784,5.0
1758721227.047807,4291264,39.0
1758721227.1169615,4291904,24.0
1758721229.445093,4293568,5.0
1758721253.627304,4398912,16.0
1758721258.3184807,4422784,48.0
1758721260.994661,4427392,10.0
1758721261.419117,4431296,44.0
1758721264.8449914,4443072,11.0
1758721285.6585193,4535744,10.0
1758721285.9046695,4538048,3.0
1758721288.654611,4543744,72.0
1758721289.167937,4548608,32.0
1758721300.0081592,4589824,37.0
1758721319.377376,4670720,31.0
1758721319.4724832,4671552,20.0
1758721327.3750203,4704512,39.0
1758721640.4320722,4746304,39.0
1758721644.6869822,4765248,28.0
1758721647.950248,4774848,5.0
1758721648.5675461,4780352,8.0
1758721655.4984357,4804352,21.0
1758721655.5932252,4805248,51.0
1758721659.6666195,4823168,39.0
1758721666.8707685,4849728,23.0
1758721683.2769995,4921984,11.0
1758721684.00607,4928832,23.0
1758721687.498962,4941056,33.0
1758721688.2162883,4947840,26.0
1758721695.2105103,4971392,10.0
1758721723.5800152,5091456,7.0
1758721727.1950135,5104448,49.0
1758721727.5284872,5107520,8.0
1758721730.3516562,5113152,43.0
1758721731.0588167,5119552,15.0
1758721735.0298188,5135552,14.0
1758721742.727847,5165312,10.0
1758721742.9039247,5166912,7.0
1758721744.005403,5176960,8.0
1758721747.188807,5186048,11.0
1758721747.8585572,5192256,13.0
1758721747.9210334,5192832,54.0
1758721755.860836,5225984,34.0
1758722061.2151117,5247808,26.0
1758722069.0629838,5278976,51.0
1758722069.5826397,5283712,18.0
1758722069.910881,5286720,32.0
1758722072.8658702,5293632,57.0
1758722073.990896,5304320,20.0
1758722074.3752434,5307904,7.0
1758722081.2338269,5331648,13.0
1758722088.4967456,5359552,6.0
1758722089.4059806,5368192,6.0
1758722092.807929,5379840,22.0
1758722097.1184392,5399936,8.0
1758722111.8453867,5457408,15.0
1758722112.3191977,5461824,25.0
1758722116.7539926,5483072,31.0
1758722116.7963035,5483456,5.0
1758722142.9600065,5587072,3.0
1758722143.7455757,5594368,12.0
1758722147.756558,5611840,6.0
1758722148.078026,5614848,20.0
1758722158.892569,5656064,21.0
1758722163.028909,5674624,11.0
1758722163.078867,5675072,19.0
1758722166.5758886,5687488,9.0
1758722183.72811,5765760,13.0
1758722493.784521,5783616,30.0
1758722494.4837253,5790208,21.0
1758722505.9975169,5836096,52.0
1758722518.4997916,5892352,61.0
1758722519.1085284,5897984,5.0
1758722521.785434,5902912,61.0
1758722541.0124714,5982016,50.0
1758722548.840892,6014848,52.0
1758722548.8814137,6015232,46.0
1758722556.8897119,6050368,4.0
1758722564.8846684,6084864,10.0
1758722564.9384441,6085376,26.0
1758722569.1009858,6104512,10.0
1758722569.2117462,6105536,30.0
1758722607.6678495,6265024,9.0
1758722937.6553872,6383296,60.0
1758722945.4060118,6414016,51.0
1758722945.6084373,6415872,32.0
1758722946.2967703,6422080,64.0
1758722956.907417,6459392,4.0
1758722965.1380768,6497152,7.0
1758722965.5678155,6501184,60.0
1758722969.555742,6517952,18.0
1758722976.7849758,6544960,17.0
1758722977.3681548,6550400,72.0
1758722980.8907351,6563264,41.0
1758722981.3116713,6567232,7.0
1758722987.9973094,6589440,17.0
1758722992.202819,6608384,2.0
1758722996.5770597,6629312,9.0
1758723001.0706441,6651136,26.0
1758723015.1007967,6701568,2.0
1758723027.7671988,6759424,18.0
1758723031.9151073,6778240,21.0
1758723352.0760834,6865280,30.0
1758723356.0997767,6882496,55.0
1758723356.814132,6889152,12.0
1758723356.9825652,6890752,54.0
1758723361.0042772,6908352,53.0
1758723376.6372292,6973120,9.0
1758723379.515887,6979712,13.0
1758723396.0078537,7048192,50.0
1758723399.9886816,7065152,53.0
1758723411.5952988,7113152,48.0
1758723415.339711,7128000,20.0
1758723420.4925244,7156032,62.0
1758723424.6870472,7174272,57.0
1758723447.0759168,7262016,6.0
1758723451.0888355,7279360,38.0
1758723455.7444217,7302464,53.0
1758723462.638825,7326848,28.0
1758723462.6663296,7327104,55.0
1758723780.1886575,7389632,57.0
1758723784.2942495,7407936,8.0
1758723784.9904134,7414464,63.0
1758723792.15427,7441344,26.0
1758723792.9590776,7448896,56.0
1758723793.5044296,7453952,17.0
1758723809.0549269,7519552,6.0
1758723816.2002242,7546624,20.0
1758723823.9838045,7579776,40.0
1758723824.3804717,7583552,20.0
1758723831.611052,7611456,62.0
1758723832.2221184,7617216,49.0
1758723842.5069323,7653120,50.0
1758723843.562023,7663104,12.0
1758723858.4047968,7721920,47.0
1758723862.3261495,7738688,6.0
1758723869.5839093,7766656,44.0
1758723878.193976,7807424,4.0
1758723882.0996919,7824000,14.0
1758723889.0145721,7848896,56.0
1758724215.4758615,7947264,7.0
1758724223.833793,7985472,73.0
1758724224.1892815,7988928,20.0
1758724228.646201,8011136,35.0
1758724239.7032814,8054464,10.0
1758724258.2612982,8128448,69.0
1758724263.3564167,8155968,55.0
1758724266.6210678,8166592,33.0
1758724274.6684048,8201728,6.0
1758724275.3526652,8208256,6.0
1758724290.4173243,8269760,60.0
1758724302.4053576,8321856,24.0
1758724309.1260645,8344320,67.0
1758724317.8492663,8386112,6.0
1758724620.0776715,8399424,54.0
1758724624.5967295,8420928,20.0
1758724632.7538753,8454016,12.0
1758724639.9588852,8480960,26.0
1758724642.8427052,8487616,65.0
1758724644.3671594,8502016,60.0
1758724646.8049266,8504448,40.0
1758724656.322289,8551872,11.0
1758724662.6861975,8571328,9.0
1758724663.461705,8578688,13.0
1758724666.6897662,8588736,53.0
1758724678.3249044,8635904,22.0
1758724679.2679935,8644480,16.0
1758724686.2361982,8669056,8.0
1758724686.6697195,8673280,28.0
1758724687.5717618,8681856,74.0
1758724706.5153027,8757120,77.0
1758724706.7487404,8759360,20.0
1758724710.4374638,8773568,52.0
1758724714.4736147,8790976,10.0
1758724715.0624683,8796672,26.0
1758725052.8350964,8942656,15.0
1758725059.5371282,8964032,16.0
1758725075.296997,9031232,6.0
1758725076.4618952,9042240,47.0
1758725082.8341238,9061824,58.0
1758725083.3177197,9066368,30.0
1758725087.0712888,9081408,56.0
1758725113.8160295,9192512,59.0
1758725118.9016678,9220160,53.0
1758725126.647454,9252544,56.0
1758725130.4756863,9268224,32.0
1758725137.483134,9293888,73.0
1758725152.647169,9355776,69.0
1758725153.6065164,9364928,40.0
1758725157.102341,9377472,25.0
1758725161.0966444,9394816,53.0
1758725161.2968056,9396672,34.0
1758725161.4278114,9397888,3.0
1758725485.081243,9484096,60.0
1758725488.0238466,9491136,58.0
1758725488.5626385,9496192,62.0
1758725491.6925125,9505152,52.0
1758725492.5938234,9513728,45.0
1758725496.4073539,9529536,1.0
1758725511.722983,9593536,7.0
1758725519.8969781,9630208,17.0
1758725546.0956657,9736960,3.0
1758725546.6374395,9742144,18.0
1758725553.7073653,9767680,40.0
1758725557.8899117,9787072,10.0
1758725570.0845327,9841536,58.0
1758725577.4280517,9870528,42.0
1758725578.0046601,9875968,4.0
1758725578.0259125,9876160,26.0
1758725588.3973808,9913024,8.0
1758725593.579227,9941504,49.0
1758725597.7176406,9960064,35.0
1758725926.0439515,10080896,55.0
1758725939.0426526,10136768,14.0
1758725942.0738719,10144576,72.0
1758725942.823137,10151552,50.0
1758725969.8198476,10260096,67.0
1758725970.219711,10263936,11.0
1758725978.642708,10303232,12.0
1758725985.0069606,10322048,4.0
1758725985.17649,10323648,15.0
1758725985.210796,10323968,39.0
1758725986.323398,10334464,6.0
1758725998.2842727,10386432,34.0
1758726005.527882,10414272,26.0
1758726008.5441928,10422592,57.0
1758726016.366865,10455616,69.0
1758726328.4027245,10489472,39.0
1758726328.6944656,10492096,20.0
