Wall time,Step,Value
1758799618.3114617,22272,0.0
1758799619.5025907,30336,1.0
1758799619.7818615,32256,0.0
1758799626.5057478,48960,4.0
1758799631.8701744,56832,1.0
1758799632.733029,62592,10.0
1758799637.410541,65984,1.0
1758799637.6731777,67776,6.0
1758799638.4136066,72832,0.0
1758799639.5779798,80640,0.0
1758799645.781611,93632,1.0
1758799646.4276981,97792,3.0
1758799651.801623,106112,3.0
1758799658.741363,125632,5.0
1758799658.9542794,127168,9.0
1758799664.6732695,138048,3.0
1758799664.785203,138816,2.0
1758799665.4676712,143488,5.0
1758799665.7305162,145280,1.0
1758799671.1961358,153856,10.0
1758799671.5039818,156032,1.0
1758799678.3866024,174720,3.0
1758799683.4647706,180736,2.0
1758799684.1630158,185600,0.0
1758799684.4411705,187584,1.0
1758799685.1760354,192768,10.0
1758799685.457797,194752,9.0
1758799691.7286537,208960,0.0
1758799705.244731,243584,6.0
1758799709.8508086,246144,7.0
1758799731.4858358,307776,0.0
1758799731.550013,308224,5.0
1758799731.9265897,310912,0.0
1758799737.0067623,316416,1.0
1758799738.415229,325952,1.0
1758799743.8782978,334336,8.0
1758799744.7703602,340608,0.0
1758799744.8986096,341504,2.0
1758799745.1193075,343040,0.0
1758799749.5277824,344128,1.0
1758799750.4802692,350784,0.0
1758799762.9430633,377984,7.0
1758799764.9921126,392128,9.0
1758799769.657538,394944,1.0
1758799769.6851988,395136,4.0
1758799770.5605624,401216,3.0
1758799776.2835298,411520,0.0
1758799776.8257008,415232,4.0
1758799777.3053186,418560,4.0
1758799783.4349267,431616,2.0
1758799790.5613,451648,1.0
1758799795.9751573,459648,4.0
1758799796.6439302,464320,2.0
1758799796.9906733,466752,0.0
1758799797.7141678,471808,7.0
1758799798.0372012,474112,14.0
1758799798.082422,474432,0.0
1758799803.1186597,479808,2.0
1758799804.553531,489664,2.0
1758799810.101515,498496,4.0
1758799811.3808525,507328,3.0
1758799818.0044804,521344,7.0
1758800392.259829,533184,4.0
1758800392.4734805,534592,0.0
1758800397.8761318,542464,0.0
1758800398.1784458,544512,1.0
1758800398.8705883,549184,10.0
1758800404.9950988,562112,0.0
1758800405.1525624,563200,3.0
1758800417.749289,590784,2.0
1758800418.3306532,594560,4.0
1758800424.9857883,610496,4.0
1758800432.1310194,630592,1.0
1758800432.1966271,631040,0.0
1758800433.1465287,637504,8.0
1758800446.0502572,667776,1.0
1758800451.1461875,673920,1.0
1758800451.3115876,675008,8.0
1758800452.4721928,682624,4.0
1758800452.7430065,684480,4.0
1758800458.2420187,693056,1.0
1758800459.025446,697984,3.0
1758800464.430567,706240,0.0
1758800470.8398378,721088,4.0
1758800479.8726408,753664,1.0
1758800491.801583,777600,16.0
1758800492.4785836,782080,13.0
1758800492.8434494,784576,7.0
1758800498.733096,795904,5.0
1758800499.3857827,800256,4.0
1758800499.7021365,802368,12.0
1758800505.1375291,810880,7.0
1758800510.625479,819456,17.0
1758800511.1469362,822912,9.0
1758800517.4061942,836608,7.0
1758800518.5900846,844480,10.0
1758800524.05413,852992,12.0
1758800524.1101344,853376,5.0
1758800524.7295074,857600,0.0
1758800524.7481158,857728,6.0
1758800524.8996031,858752,4.0
1758800538.141488,891520,5.0
1758800538.4517484,893632,12.0
1758800538.5806587,894528,8.0
1758800538.8487182,896384,4.0
1758800546.0922825,917120,4.0
1758800550.7922099,920256,2.0
1758800557.2467701,935360,6.0
1758800559.0181918,947264,8.0
1758800565.1575794,960256,8.0
1758800565.2621403,960960,9.0
1758800570.738735,969408,6.0
1758800584.1638334,1002880,3.0
1758800597.1701374,1033216,8.0
1758800597.909613,1038144,4.0
1758800597.9760404,1038592,14.0
1758801172.0212905,1051392,7.0
1758801173.6781797,1062400,8.0
1758801178.9718115,1069248,26.0
1758801185.4661694,1083968,4.0
1758801185.5129046,1084288,9.0
1758801186.2113786,1089088,30.0
1758801187.121155,1095232,7.0
1758801192.1980016,1100544,4.0
1758801200.6667707,1129152,20.0
1758801212.6570895,1153024,0.0
1758801225.212997,1181312,2.0
1758801244.7191222,1229056,5.0
1758801244.8314738,1229824,14.0
1758801246.5974402,1241856,7.0
1758801251.9008672,1249472,33.0
1758801252.933751,1256320,6.0
1758801253.6845284,1261440,4.0
1758801258.670056,1266752,12.0
1758801259.332558,1271232,0.0
1758801259.3802304,1271552,2.0
1758801264.7534456,1279296,3.0
1758801264.978188,1280832,5.0
1758801266.1137886,1288320,17.0
1758801266.3546562,1289984,16.0
1758801280.2520273,1326528,11.0
1758801286.1902986,1338176,16.0
1758801291.356426,1344576,9.0
1758801298.5977693,1365504,24.0
1758801299.6415145,1372544,21.0
1758801304.9544823,1380224,5.0
1758801306.018487,1387712,16.0
1758801319.8343985,1425280,10.0
1758801324.2225633,1426496,6.0
1758801332.5671725,1455232,4.0
1758801338.0760362,1463808,3.0
1758801339.4433763,1473344,14.0
1758801339.4534645,1473408,4.0
1758801350.759169,1493120,14.0
1758801351.9257412,1501312,14.0
1758801352.7813942,1507136,7.0
1758801357.789549,1512320,14.0
1758801358.603601,1517888,11.0
1758801358.6132715,1517952,12.0
1758801359.37003,1523072,8.0
1758801363.9594173,1525440,28.0
1758801364.4285426,1528640,27.0
1758801370.973896,1544768,20.0
1758801371.977148,1551744,11.0
1758801377.2913337,1559168,21.0
1758801377.9601736,1563776,9.0
1758801950.6757283,1575232,2.0
1758801951.5404985,1580992,11.0
1758801964.1981187,1608960,20.0
1758801964.238166,1609216,37.0
1758801966.109726,1621760,10.0
1758801972.145024,1633472,4.0
1758801972.5492122,1636224,6.0
1758801978.045359,1644736,3.0
1758801978.636636,1648576,15.0
1758801984.4479787,1659328,32.0
1758801991.633655,1679296,16.0
1758801991.7016225,1679744,18.0
1758801997.9644299,1693760,2.0
1758801998.591708,1697920,5.0
1758802031.2719636,1775104,8.0
1758802031.8597167,1779008,5.0
1758802032.7261178,1784832,31.0
1758802038.835249,1797056,12.0
1758802044.0003695,1803392,61.0
1758802052.720874,1833280,61.0
1758802052.9654772,1834944,6.0
1758802066.1990495,1866944,63.0
1758802077.3020098,1885312,22.0
1758802078.0029762,1889920,55.0
1758802124.9941144,2003072,34.0
1758802126.4244215,2012672,28.0
1758802131.8116276,2020608,18.0
1758802132.719003,2026304,16.0
1758802153.7100704,2079424,11.0
1758802160.3869746,2096000,9.0
1758802734.6664631,2125696,22.0
1758802735.0220892,2128192,26.0
1758802753.4167528,2166848,57.0
1758802753.9768572,2170752,33.0
1758802760.008294,2182912,31.0
1758802766.1609867,2196032,69.0
1758802766.2441416,2196608,59.0
1758802767.7189891,2206912,19.0
1758802773.8600044,2220288,5.0
1758802786.440469,2249472,50.0
1758802792.5738006,2263232,32.0
1758802805.564425,2296128,59.0
1758802826.946882,2357440,18.0
1758802827.0851448,2358400,5.0
1758802832.9332514,2369984,17.0
1758802838.1054044,2376448,3.0
1758802838.5402267,2379456,19.0
1758802878.8858786,2480832,8.0
1758802885.4955585,2495552,8.0
1758802891.8218966,2509760,10.0
1758802893.4743438,2521216,50.0
1758802899.3526883,2532800,22.0
1758802906.7561483,2554752,27.0
1758802912.2535555,2563456,66.0
1758802920.102755,2588672,19.0
1758802925.554112,2597056,13.0
1758802925.801304,2598784,33.0
1758803515.1297197,2649280,7.0
1758803521.806297,2665856,13.0
1758803541.267041,2712960,8.0
1758803541.64864,2715520,65.0
1758803547.3595424,2725568,16.0
1758803553.444655,2738432,47.0
1758803568.195084,2783360,17.0
1758803572.9109883,2787584,32.0
1758803573.6388595,2792704,7.0
1758803580.7193832,2812800,12.0
1758803581.0373328,2814976,13.0
1758803594.0345664,2847808,52.0
1758803594.2215528,2849088,71.0
1758803600.8445961,2865984,61.0
1758803605.7398484,2871232,26.0
1758803620.0642228,2911424,13.0
1758803632.7694244,2941568,42.0
1758803633.5824158,2947328,24.0
1758803646.3959115,2977984,24.0
1758803657.823124,2999360,25.0
1758803659.783339,3012864,29.0
1758803664.487433,3016832,35.0
1758803684.8275754,3069696,16.0
1758803691.4858289,3085952,21.0
1758803691.6398418,3086976,50.0
1758803698.032292,3100928,15.0
1758803698.5990016,3104640,18.0
1758803699.399034,3109952,45.0
1758803704.4895687,3116032,19.0
1758803706.1369348,3127616,39.0
1758803710.866961,3131328,3.0
1758804285.7517633,3177408,4.0
1758804291.5857403,3188544,58.0
1758804310.2287986,3231680,44.0
1758804324.4417324,3273088,54.0
1758804329.9040158,3282112,32.0
1758804343.841746,3322112,9.0
1758804349.3907185,3332352,44.0
1758804382.9567635,3422976,23.0
1758804389.0559683,3436672,45.0
1758804400.69113,3460032,25.0
1758804400.7631314,3460544,18.0
1758804407.910312,3481664,7.0
1758804419.9093676,3507136,35.0
1758804428.1633797,3536256,14.0
1758804434.2116673,3549760,60.0
1758804480.516223,3669440,25.0
1758805067.5288491,3710784,56.0
1758805073.2974832,3721600,6.0
1758805073.9410174,3726144,27.0
1758805074.0129104,3726656,8.0
1758805079.4783673,3735616,42.0
1758805086.0027225,3752384,36.0
1758805112.0918207,3819200,62.0
1758805112.369729,3821184,17.0
1758805112.474931,3821952,14.0
1758805132.8006387,3877696,15.0
1758805152.172344,3925888,59.0
1758805158.5620484,3941504,71.0
1758805178.7794175,3996416,67.0
1758805191.2027655,4025024,28.0
1758805198.242391,4045056,8.0
1758805202.8779538,4048256,43.0
1758805204.7435532,4061568,25.0
1758805230.4121847,4122432,64.0
1758805250.7545483,4175040,23.0
1758805835.1976032,4222208,11.0
1758805835.4057744,4223616,38.0
1758805835.6319242,4225216,67.0
1758805835.7848327,4226304,53.0
1758805881.0772262,4336192,4.0
1758805893.1094687,4361472,15.0
1758805893.7638712,4366080,9.0
1758805894.165778,4368896,18.0
1758805900.1633596,4381632,62.0
1758805939.0920594,4478272,22.0
1758805939.475046,4480832,31.0
1758805940.319296,4486720,12.0
1758805945.2809935,4491840,14.0
1758805959.84942,4534016,17.0
1758805992.8472638,4616704,23.0
1758805992.9410205,4617344,60.0
1758806010.7918627,4653120,7.0
1758806025.5746994,4695936,4.0
1758806032.9163778,4716864,21.0
1758806606.4637575,4727552,17.0
1758806606.7929754,4729920,33.0
1758806619.6924758,4760128,24.0
1758806619.8036847,4760896,46.0
1758806626.2993596,4776576,16.0
1758806638.272386,4801216,28.0
1758806666.3894234,4882176,15.0
1758806671.741628,4890688,48.0
1758806677.651954,4903104,9.0
1758806679.102855,4913472,28.0
1758806690.9535728,4937920,51.0
1758806691.560387,4942208,2.0
1758806748.8720062,5079232,7.0
1758806750.4438856,5090368,75.0
1758806750.8590772,5093312,68.0
1758806756.4079192,5102784,31.0
1758806757.46936,5110336,52.0
1758806769.1934578,5133312,7.0
1758806782.847452,5169792,28.0
1758806782.9542725,5170560,63.0
1758806789.2789578,5185536,7.0
1758806795.2526991,5198144,12.0
1758806796.5341372,5207488,66.0
1758806796.638815,5208256,33.0
1758807380.9840024,5250816,47.0
1758807394.0117612,5282048,30.0
1758807408.4016898,5323904,13.0
1758807413.515554,5329600,2.0
1758807414.195392,5334336,74.0
1758807420.116099,5346432,17.0
1758807426.4600139,5361856,9.0
1758807427.2370186,5367424,19.0
1758807439.3875878,5394176,33.0
1758807453.253984,5433088,40.0
1758807459.018516,5444352,14.0
1758807465.570309,5460608,38.0
1758807478.371451,5491776,24.0
1758807505.289524,5561792,20.0
1758807506.0669165,5567168,24.0
1758807519.0358467,5599040,44.0
1758807519.0992527,5599488,45.0
1758807577.7220106,5745152,15.0
1758807583.222767,5754176,21.0
1758808154.1417751,5780032,59.0
1758808159.4380302,5787136,53.0
1758808180.0633016,5843072,27.0
1758808192.1583881,5868864,39.0
1758808192.3414087,5870144,51.0
1758808198.7532403,5885952,50.0
1758808238.9766107,5991104,35.0
1758808250.4900293,6013248,64.0
1758808251.9270005,6023040,56.0
1758808271.6491203,6072576,29.0
1758808291.1964297,6121280,4.0
1758808296.445895,6128640,19.0
1758808297.1925964,6133952,53.0
1758808330.1012611,6217664,15.0
1758808342.6321094,6244736,21.0
1758808342.6585944,6244928,73.0
1758808356.6877367,6284224,8.0
1758808937.4355748,6322048,50.0
1758808937.5706227,6323008,17.0
1758808948.9169924,6342912,31.0
1758808948.974351,6343296,2.0
1758809014.8894851,6515392,2.0
1758809061.0504804,6634624,53.0
1758809079.177289,6673856,6.0
1758809079.396423,6675392,53.0
1758809080.5414858,6683392,48.0
1758809099.0036674,6724032,63.0
1758809112.3351846,6758272,24.0
1758809113.22064,6764480,1.0
1758809119.4810913,6778816,63.0
1758809131.9926467,6807680,63.0
1758809132.8443818,6813696,62.0
1758809702.3112621,6825472,51.0
1758809702.6501086,6827904,4.0
1758809714.4984767,6851456,55.0
1758809721.8552878,6873472,19.0
1758809734.04154,6900096,12.0
1758809741.2258575,6921472,16.0
1758809759.788717,6964800,44.0
1758809779.258139,7016064,11.0
1758809786.1868005,7035904,14.0
1758809818.1607034,7114624,36.0
1758809825.3770254,7136192,38.0
1758809825.9345949,7140160,54.0
1758809825.9802628,7140480,13.0
1758809832.1395338,7154496,54.0
1758809858.042141,7219392,63.0
1758809858.5815349,7223168,47.0
1758809889.3739908,7292480,48.0
1758809895.832892,7308352,39.0
1758810479.495482,7350912,24.0
1758810485.5984893,7363776,44.0
1758810486.2499855,7368384,24.0
1758810498.7368875,7396800,20.0
1758810505.097965,7412160,58.0
1758810537.9318912,7498624,18.0
1758810545.094747,7518976,40.0
1758810556.6018372,7541696,31.0
1758810564.4575396,7567680,51.0
1758810564.4670053,7567744,17.0
1758810589.734208,7628224,59.0
1758810596.3746114,7645376,1.0
1758810597.0250053,7649856,29.0
1758810609.6477864,7679936,21.0
1758810614.7006161,7686016,7.0
1758810616.3064458,7697280,32.0
1758810642.5341709,7763136,52.0
1758810654.5950184,7788672,53.0
1758810667.169245,7818368,32.0
1758810667.702044,7822208,43.0
1758810679.9061089,7849344,57.0
1758810680.6584268,7854720,7.0
1758811258.8276749,7895808,35.0
1758811264.3386345,7904064,39.0
1758811284.2384746,7954496,6.0
1758811290.5531123,7969600,41.0
1758811298.1250622,7993216,64.0
1758811316.5406265,8034688,23.0
1758811322.9570322,8050688,1.0
1758811330.0155284,8071360,43.0
1758811369.1366425,8171904,37.0
1758811382.1116664,8204736,58.0
1758811387.047793,8209856,18.0
1758811394.4957998,8233088,19.0
1758811412.887666,8274752,52.0
1758811439.561014,8344576,53.0
1758811447.72392,8372160,75.0
1758811453.5955596,8383872,31.0
1758812038.7575371,8422016,20.0
1758812039.2166455,8425216,64.0
1758812060.783245,8486400,37.0
1758812085.7137127,8543936,14.0
1758812093.0435572,8565824,15.0
1758812111.049935,8605312,61.0
1758812112.5701807,8616128,44.0
1758812124.160995,8639488,18.0
1758812136.8439527,8669952,13.0
1758812143.7892766,8689472,36.0
1758812144.77249,8696448,61.0
1758812151.0932944,8711424,46.0
1758812151.4344916,8713792,17.0
1758812170.9305556,8759424,47.0
1758812176.5201883,8768832,3.0
1758812177.7929938,8777728,9.0
1758812182.8166947,8783616,58.0
1758812184.0596952,8792320,63.0
1758812203.0548623,8837248,53.0
1758812208.71515,8847488,14.0
1758812216.240284,8870848,69.0
1758812216.9945812,8876160,32.0
1758812221.9888334,8881408,64.0
1758812812.2193725,8953024,1.0
1758812812.324836,8953664,12.0
1758812820.009017,8973056,20.0
1758812826.6221633,8986496,43.0
1758812827.6811194,8992832,64.0
1758812888.3503718,9139968,20.0
1758812900.0677133,9161856,71.0
1758812920.6226113,9213696,30.0
1758812926.5441613,9224896,45.0
1758812933.5004663,9243200,39.0
